"臺灣地區平均氣溫","臺北(℃)","高雄(℃)","淡水(℃)","新竹(℃)","臺中(℃)","花蓮(℃)"
"87年 1月","16.1","20.5","14.6","15.4","17.6","18.6"
"87年 2月","16.6","20.9","15.3","16.0","17.8","18.7"
"87年 3月","19.0","23.4","17.5","18.2","20.7","20.9"
"87年 4月","24.2","26.3","22.9","23.8","25.2","24.2"
"87年 5月","25.9","28.0","25.3","26.2","27.0","26.0"
"87年 6月","28.0","28.3","27.0","28.1","27.7","27.1"
"87年 7月","30.2","29.4","29.3","29.7","29.4","29.4"
"87年 8月","29.6","29.6","29.2","29.5","29.1","29.4"
"87年 9月","26.7","28.6","25.8","26.8","27.6","26.9"
"87年 10月","24.8","27.2","23.9","24.9","25.9","25.3"
"87年 11月","22.3","25.3","21.3","22.4","23.6","23.4"
"87年 12月","19.3","22.1","18.2","19.2","20.1","21.3"
"88年 1月","17.1","20.1","16.1","16.3","17.8","19.1"
"88年 2月","16.7","20.9","15.4","16.1","18.0","18.4"
"88年 3月","19.5","24.6","18.1","18.8","21.5","21.9"
"88年 4月","22.3","26.0","21.5","22.2","24.4","22.7"
"88年 5月","23.9","26.5","23.2","23.3","24.9","23.6"
"88年 6月","27.8","28.7","26.9","27.5","28.1","27.5"
"88年 7月","29.1","28.3","28.5","28.7","28.0","28.9"
"88年 8月","28.4","28.2","28.0","28.0","27.8","27.8"
"88年 9月","27.9","27.9","28.0","27.2","27.7","27.0"
"88年 10月","25.1","26.7","24.9","24.7","26.0","25.1"
"88年 11月","21.1","24.5","20.7","20.9","22.5","22.1"
"88年 12月","17.0","19.8","16.5","16.7","17.6","19.1"
"89年 1月","17.0","19.5","15.8","16.0","17.5","19.0"
"89年 2月","16.0","19.6","15.2","15.4","16.8","17.9"
"89年 3月","18.4","22.6","16.9","17.2","19.5","20.5"
"89年 4月","21.2","25.7","20.6","21.1","23.2","22.6"
"89年 5月","25.3","27.4","24.9","24.9","26.2","24.4"
"89年 6月","27.9","28.9","27.1","27.4","27.8","27.4"
"89年 7月","29.6","28.4","28.9","29.1","28.6","28.2"
"89年 8月","28.4","27.9","27.7","28.2","27.6","28.2"
"89年 9月","27.9","28.1","27.0","27.2","27.0","27.1"
"89年 10月","25.7","27.4","24.9","25.1","26.5","25.7"
"89年 11月","22.1","24.2","21.6","21.6","22.8","23.1"
"89年 12月","19.7","21.8","19.1","19.2","20.1","20.8"
"90年 1月","17.5","20.2","16.4","16.5","17.7","18.8"
"90年 2月","18.1","21.0","16.6","16.9","18.7","19.4"
"90年 3月","19.1","23.3","17.9","18.6","20.9","20.5"
"90年 4月","21.9","25.6","21.0","21.2","23.0","22.8"
"90年 5月","25.4","27.5","24.6","25.3","26.6","25.3"
"90年 6月","28.5","28.3","27.5","27.9","27.8","27.5"
"90年 7月","29.5","28.7","28.8","29.0","28.4","28.4"
"90年 8月","30.1","29.2","29.3","29.4","29.2","29.0"
"90年 9月","26.5","27.2","26.1","26.5","26.7","26.6"
"90年 10月","24.2","26.7","23.2","24.0","25.1","24.5"
"90年 11月","20.5","22.9","19.2","19.9","20.7","21.6"
"90年 12月","18.4","21.0","17.2","17.6","18.7","19.5"
"91年 1月","16.1","19.9","14.7","15.6","17.1","17.9"
"91年 2月","17.8","20.8","16.4","16.8","18.7","18.5"
"91年 3月","21.1","24.0","20.0","20.4","22.0","21.6"
"91年 4月","23.8","26.8","22.5","23.1","25.1","24.5"
"91年 5月","26.6","27.6","25.4","26.0","26.9","26.2"
"91年 6月","28.6","29.1","27.6","28.1","28.5","27.8"
"91年 7月","29.6","29.3","28.3","29.1","28.5","28.6"
"91年 8月","30.1","29.0","29.1","29.0","28.6","28.2"
"91年 9月","27.1","28.1","26.4","27.0","27.3","26.6"
"91年 10月","25.1","27.2","24.3","24.7","25.6","24.7"
"91年 11月","20.8","24.2","19.7","20.5","21.8","21.8"
"91年 12月","18.9","21.6","17.4","18.3","19.3","20.1"
"92年 1月","16.2","19.2","15.0","15.3","16.4","17.2"
"92年 2月","17.6","21.4","16.3","16.9","18.8","19.2"
"92年 3月","18.2","22.7","17.2","17.8","19.7","19.5"
"92年 4月","23.6","26.1","22.5","23.2","24.3","23.6"
"92年 5月","25.1","28.0","24.4","25.1","26.6","25.5"
"92年 6月","27.4","27.8","26.3","26.9","27.6","26.8"
"92年 7月","30.8","30.5","29.5","29.6","29.8","29.4"
"92年 8月","30.1","29.2","29.2","29.5","28.8","28.7"
"92年 9月","28.4","28.6","27.7","28.1","28.6","27.4"
"92年 10月","24.4","26.5","23.3","24.3","25.1","24.1"
"92年 11月","22.3","24.7","21.2","22.1","23.5","22.9"
"92年 12月","17.4","20.3","15.9","16.9","17.8","18.8"
"93年 1月","15.4","19.1","14.3","14.9","16.3","17.2"
"93年 2月","17.8","20.0","16.6","16.6","17.6","18.3"
"93年 3月","17.6","22.5","16.6","17.6","19.4","19.4"
"93年 4月","21.9","25.8","20.8","21.7","23.3","22.6"
"93年 5月","25.8","28.7","25.0","26.0","27.4","25.8"
"93年 6月","27.2","28.8","26.7","27.6","28.4","26.6"
"93年 7月","29.7","28.9","28.4","28.3","28.1","27.6"
"93年 8月","29.4","29.1","28.3","28.5","28.3","28.8"
"93年 9月","27.3","28.1","26.4","26.4","27.2","26.8"
"93年 10月","23.0","25.8","21.4","22.6","23.6","23.9"
"93年 11月","22.5","24.4","21.4","21.8","22.4","22.1"
"93年 12月","19.5","21.1","18.2","18.7","19.3","20.0"
"94年 1月","15.5","18.6","14.2","14.7","16.1","17.5"
"94年 2月","16.2","20.5","14.4","14.7","16.9","18.6"
"94年 3月","17.3","20.5","15.4","16.0","17.5","18.0"
"94年 4月","23.0","26.0","22.0","22.3","23.8","22.9"
